Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__inv_2,_1881_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1882_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1883_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1884_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1885_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1886_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1887_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1888_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1889_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1890_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1891_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1892_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1893_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1894_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1895_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1896_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1897_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1898_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1899_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1900_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_1901_,RGB2YCBCR
sky130_fd_sc_hd__and2b_2,_1902_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1903_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1904_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1905_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1906_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_1907_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1908_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1909_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_1910_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1911_,RGB2YCBCR
sky130_fd_sc_hd__o211a_2,_1912_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1913_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1914_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1915_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1916_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1917_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1918_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1919_,RGB2YCBCR
sky130_fd_sc_hd__o211ai_2,_1920_,RGB2YCBCR
sky130_fd_sc_hd__a211o_2,_1921_,RGB2YCBCR
sky130_fd_sc_hd__a22o_2,_1922_,RGB2YCBCR
sky130_fd_sc_hd__or4bb_2,_1923_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_1924_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1925_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1926_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1927_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1928_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1929_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1930_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1931_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1932_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1933_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1934_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1935_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1936_,RGB2YCBCR
sky130_fd_sc_hd__nand3_2,_1937_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_1938_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1939_,RGB2YCBCR
sky130_fd_sc_hd__and3_2,_1940_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1941_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1942_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1943_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1944_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1945_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1946_,RGB2YCBCR
sky130_fd_sc_hd__o21ai_2,_1947_,RGB2YCBCR
sky130_fd_sc_hd__or3_2,_1948_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1949_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1950_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1951_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1952_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1953_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1954_,RGB2YCBCR
sky130_fd_sc_hd__a32o_2,_1955_,RGB2YCBCR
sky130_fd_sc_hd__o32ai_2,_1956_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1957_,RGB2YCBCR
sky130_fd_sc_hd__mux2_1,_1958_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1959_,RGB2YCBCR
sky130_fd_sc_hd__inv_2,_1960_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1961_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1962_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1963_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1964_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1965_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1966_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1967_,RGB2YCBCR
sky130_fd_sc_hd__or2_2,_1968_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_1969_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1970_,RGB2YCBCR
sky130_fd_sc_hd__a31o_2,_1971_,RGB2YCBCR
sky130_fd_sc_hd__o221a_2,_1972_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1973_,RGB2YCBCR
sky130_fd_sc_hd__o2bb2a_2,_1974_,RGB2YCBCR
sky130_fd_sc_hd__o21a_2,_1975_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1976_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1977_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1978_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1979_,RGB2YCBCR
sky130_fd_sc_hd__and2_2,_1980_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1981_,RGB2YCBCR
sky130_fd_sc_hd__a21oi_2,_1982_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1983_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1984_,RGB2YCBCR
sky130_fd_sc_hd__nor2_2,_1985_,RGB2YCBCR
sky130_fd_sc_hd__xor2_2,_1986_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1987_,RGB2YCBCR
sky130_fd_sc_hd__nand2_2,_1988_,RGB2YCBCR
sky130_fd_sc_hd__xnor2_2,_1989_,RGB2YCBCR
sky130_fd_sc_hd__a21o_2,_1990_,RGB2YCBCR
