Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__inv_2,_41463_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41464_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41465_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41466_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41467_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41468_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41469_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41470_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41471_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41472_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41473_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41474_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41475_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41476_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41477_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41478_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41479_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41480_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41481_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41482_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41483_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41484_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41485_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41486_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41487_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41488_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41489_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41490_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41491_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41492_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41493_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41494_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41495_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41496_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41497_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41498_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41499_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41500_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41501_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41502_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41503_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41504_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41505_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41506_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41507_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41508_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41509_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41510_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41511_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41512_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41513_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41514_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41515_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41516_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41517_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41518_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41519_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41520_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41521_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41522_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41523_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41524_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41525_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41526_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41527_,ldpc_decoder_802_3an
sky130_fd_sc_hd__inv_2,_41528_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41529_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41530_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41531_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41532_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41533_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41534_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41535_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41536_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41537_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41538_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41539_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41540_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41541_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41542_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41543_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41544_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41545_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41546_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41547_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41548_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41549_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41550_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41551_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41552_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41553_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41554_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41555_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41556_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41557_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41558_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41559_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41560_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41561_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41562_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41563_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41564_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41565_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41566_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41567_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41568_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41569_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xnor2_2,_41570_,ldpc_decoder_802_3an
sky130_fd_sc_hd__xor2_2,_41571_,ldpc_decoder_802_3an
