Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__xor2_2,_144192_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144193_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144194_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144195_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144196_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144197_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144198_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144199_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144200_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144201_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144202_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144203_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144204_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144205_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144206_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144207_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144208_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144209_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144210_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144211_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144212_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144213_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144214_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144215_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144216_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144217_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144218_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144219_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144220_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144221_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144222_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144223_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144224_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144225_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144226_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144227_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144228_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144229_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144230_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144231_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144232_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144233_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144234_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144235_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144236_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144237_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144238_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144239_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144240_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144241_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144242_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144243_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144244_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144245_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144246_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144247_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144248_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144249_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144250_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144251_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144252_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144253_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144254_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144255_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144256_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144257_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144258_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144259_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144260_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144261_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144262_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144263_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144264_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144265_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144266_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144267_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144268_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144269_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144270_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144271_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144272_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144273_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144274_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144275_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144276_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144277_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144278_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144279_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144280_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144281_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144282_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144283_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144284_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144285_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144286_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144287_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144288_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144289_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144290_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144291_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144292_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144293_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144294_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144295_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144296_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144297_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144298_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144299_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144300_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144301_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144302_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144303_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144304_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144305_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144306_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144307_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144308_,ldpc_encoder_802_3an
