Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__inv_2,_06243_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4bb_2,_06244_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or3_2,_06245_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or3b_2,_06246_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or4b_2,_06247_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or4b_2,_06248_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__inv_2,_06249_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06250_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21a_2,_06251_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06252_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06253_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06254_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06255_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06256_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06257_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06258_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06259_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06260_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06261_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06262_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06263_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06264_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06265_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06266_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06267_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06268_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06269_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06270_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06271_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06272_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06273_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06274_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06275_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06276_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06277_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06278_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06279_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06280_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06281_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06282_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__mux2_1,_06283_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2_2,_06284_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06285_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and3_2,_06286_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06287_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06288_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06289_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06290_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06291_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06292_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06293_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__or2_2,_06294_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and2_2,_06295_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__and4_2,_06296_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__a22oi_2,_06297_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nor2_2,_06298_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2_2,_06299_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06300_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__o21ba_2,_06301_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand2b_2,_06302_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__xnor2_2,_06303_,picorv32_pcpi_fast_mul
sky130_fd_sc_hd__nand3_2,_06304_,picorv32_pcpi_fast_mul
